year,gdp_usd,investment_pct_gdp,agri_pct_gdp,imports_pct_gdp,exports_pct_gdp,literacy_rate,total_power_gen_mu,mobile_per100,internet_pct,Sentiment,gdp_growth,log_gdp
1960,37029883876,17.93133529,41.74133512,6.833676657,4.463156456,28,12517,0,0,0.05,2.58,24.3349911
1961,39232435784,19.26214583,41.0924822,5.957576405,4.30358619,28.5,13806,0,0,0.2,5.948038928,24.39276969
1962,42161481858,18.10757077,39.0659688,6.031814896,4.168975283,29,15214,0,0,0.1,7.465878719,24.46477289
1963,48421923459,18.99545711,39.82535168,5.906834458,4.280503385,29.5,16923,0,0,0.4,14.84872287,24.60321851
1964,56480289941,19.52982849,41.34371671,5.684997747,3.725551173,30,18765,0,0,0.65,16.64197931,24.75715756
1965,59556105229,20.05722299,39.38469726,5.211561589,3.307472781,31.5,20436,0,0,-0.7,5.445820642,24.81018465
1966,45581230504,18.35801382,40.35165124,6.671686852,4.14255066,32,23107,0,0,-0.6,-23.46505815,24.54276186
1967,50134942204,18.19754447,42.75155802,5.946617673,4.034444995,32.5,26521,0,0,0.45,9.990322002,24.63798405
1968,53085455871,17.74224975,42.08602738,4.94297347,4.038771006,33,29845,0,0,0.15,5.885144247,24.69516883
1969,58447995017,17.64009523,41.58492358,4.030933823,3.71384282,33.5,32468,0,0,0.35,10.10171065,24.79140322
1970,62422483055,18.21143873,40.28961346,3.878944276,3.782825062,34.5,34025,0,0,0.5,6.800041706,24.85719135
1971,67351404352,19.20361574,38.63339119,4.002401341,3.667205217,35,34809,0,0,0,7.89606734,24.93318959
1972,71464700667,19.54843194,38.6268263,3.708910336,4.027489262,35.5,37412,0,0,-0.05,6.10721685,24.99246947
1973,85517673173,18.70075865,41.60382462,4.723332826,4.208763192,36,40365,0,0,-0.3,19.66421516,25.1719889
1974,99526597934,22.51151757,38.8780587,6.02056925,4.831321003,36.5,43128,0,0,-0.8,16.38132124,25.32369076
1975,98473832017,19.54510626,35.99691484,6.646916056,5.647062158,37.2,46321,0,0,-0.35,-1.057773438,25.31305669
1976,102716451980,19.41927196,34.31203671,6.114690211,6.686512862,38,49785,0,0,0.4,4.308372971,25.35523814
1977,121486641441,21.09561255,35.77714426,6.264929324,6.383171814,38.8,53892,0,0,-0.85,18.27379071,25.52307015
1978,137302319829,22.65072075,34.27396271,6.588186608,6.314825235,39.5,58214,0,0,0.05,13.01845059,25.64545105
1979,152995442498,23.59537674,32.82553002,8.169166374,6.749638157,40.2,62736,0,0,-0.3,11.42961218,25.75367397
1980,186328579302,19.55500345,34.40886781,9.245025716,6.139551132,40.8,67892,0,0,-0.85,21.78701291,25.95077751
1981,193491368446,25.56013763,33.29769742,8.571238135,5.936026627,41.5,73456,0,0,0.45,3.844170964,25.98849874
1982,200715624831,25.13419431,32.32674969,8.142627901,5.983299849,42.3,79214,0,0,0.1,3.73363238,26.02515494
1983,218262146413,21.03957212,32.60653488,7.852964463,5.837629424,43,85678,0,0,0.5,8.741980898,26.10896268
1984,212157645178,23.2914173,31.38053041,7.725974551,6.283401393,43.8,92345,0,0,0.25,-2.796866674,26.08059544
1985,232511554840,26.4460769,29.71813836,7.645481198,5.254554996,45.3,99567,0,0,0.45,9.59376677,26.17220576
1986,248985994041,26.06568394,28.64114627,7.023050239,5.19622166,46,107289,0,0,0.1,7.085428168,26.24066248
1987,279033584092,25.82713131,27.9723784,6.980233152,5.604580884,46.8,115678,0,0,0.4,12.06798405,26.35459798
1988,296589670896,26.28263499,28.76982237,7.455230361,6.035219755,47.5,124567,0,0,0.55,6.291746874,26.41561544
1989,296042052945,26.86103691,27.8396058,8.152001813,7.016130278,48.3,134256,0,0,0.3,-0.184638241,26.41376735
1990,320979026420,27.3361977,27.58488814,8.452911276,7.053350234,52.3,144789,0,0,-0.4,8.423456474,26.49464162
1991,270105341879,25.14050528,27.66270541,8.493485781,8.494240771,53,155234,0,0,-0.75,-15.84953544,26.32207787
1992,288208070278,27.44020416,26.89691945,9.590172117,8.842926925,54,166789,0,0.000111,0,6.702099363,26.38694852
1993,279295648983,22.71641051,27.05455877,9.817322332,9.834217455,55,179456,0,0.000218,0.35,-3.092356604,26.35553673
1994,327274843459,26.31016656,26.51993758,10.19005946,9.888084916,56,193245,0,0.00107,0.5,17.17864014,26.51406615
1995,360281909643,29.15233715,24.45754779,12.02348067,10.84396804,57.8,208976,0.007952054,0.0262,0.7,10.08542723,26.61015264
1996,392896866205,22.75925318,25.19930606,11.5443186,10.38516927,58.5,225678,0.033354344,0.0463,0.75,9.052621208,26.69681299
1997,415867563593,25.69273291,24.24867451,11.92866955,10.69071732,59.2,243567,0.08797845,0.0708,0.2,5.846495446,26.75363269
