Year,GDP_Billion_USD,Investment,Agriculture,Import,Export,Education,Power_Generation,Mobile_Penetration,Internet_Penetration,Sentiment_Score,Crisis_Dummy,Sentiment_Label,Key_Event
1990,320.979,27.3362,27.5849,8.4529,7.0534,3.3614,270.9047,0.0,0.0,-0.35,1,Negative,"Gulf War oil shock, pre-crisis stress"
1991,270.1053,25.1405,27.6627,8.4935,8.4942,3.3614,289.2612,0.0,0.0001,-0.9,1,Very Negative,"BoP crisis - gold pledged, IMF bailout"
1992,288.2081,27.4402,26.8969,9.5902,8.8429,3.3614,301.7187,0.0,0.0001,-0.3,1,Negative,"LPG reforms begin, Harshad Mehta scam"
1993,279.2956,22.7164,27.0546,9.8173,9.8342,3.3614,317.5991,0.0,0.0002,0.1,0,Neutral,Post-reform recovery begins
1994,327.2748,26.3102,26.5199,10.1901,9.8881,3.3614,337.3292,0.0,0.0011,0.6,0,Very Positive,"Reform momentum, strong growth pickup"
1995,360.2819,29.1523,24.4575,12.0235,10.844,3.3614,354.3535,0.008,0.0262,0.22,0,Positive,"Steady growth, FDI liberalisation"
1996,392.8969,22.7593,25.1993,11.5443,10.3852,3.3614,354.4459,0.0334,0.0463,0.1253,0,Neutral,"Political instability, coalition govts"
1997,415.8676,25.6927,24.2487,11.9287,10.6907,3.3614,369.397,0.088,0.0708,-0.1246,0,Neutral,Asian financial crisis ripple
1998,421.3513,24.9754,24.1805,12.681,11.0185,3.5726,379.5997,0.117,0.139,-0.2893,0,Negative,"Pokhran nuclear tests, US sanctions"
1999,458.8211,30.9581,22.9726,13.3635,11.4521,4.4154,383.1296,0.1811,0.273,-0.5,1,Negative,Kargil War
2000,468.3955,25.6773,21.6111,13.9037,12.9972,4.3248,384.9894,0.3381,0.5275,-0.4,1,Negative,"Dot-com bust, global slowdown"
2001,485.4401,29.9079,21.6189,13.4349,12.5584,4.0877,384.8182,0.6067,0.6601,-0.2,1,Neutral,"Global recession, 9/11 effects, Gujarat earthquake"
2002,514.9391,30.2513,19.5345,15.2443,14.2644,3.8505,401.9988,1.1844,1.5379,-0.3974,0,Negative,"Severe drought, slow recovery"
2003,607.7007,30.8397,19.592,15.6445,14.9479,3.6134,419.0551,3.0166,1.6865,0.5,0,Positive,India growth boom begins
2004,709.1527,35.0965,17.8147,19.6447,17.8591,3.3525,441.6283,4.5969,1.9761,0.7,0,Very Positive,"IT/services surge, FDI inflows rise"
2005,820.3838,37.4283,17.6202,22.3964,19.6052,3.1888,458.8784,7.8065,2.3881,0.75,0,Very Positive,Peak growth cycle starts
2006,940.2599,38.9985,16.8094,24.4565,21.2679,3.1428,500.4771,14.1575,2.8055,0.8,0,Very Positive,"Continued boom, 9.4% GDP growth"
2007,1216.7364,41.9508,16.7501,24.8866,20.7997,3.188,533.1249,19.6208,3.95,0.8,0,Very Positive,"Peak boom, 9.8% GDP growth"
2008,1198.8951,38.4224,16.7909,29.2709,24.0974,3.2331,555.1046,28.7177,4.38,-0.75,1,Very Negative,Global Financial Crisis + Mumbai attacks
2009,1341.888,39.2568,16.7443,25.8724,20.4005,3.2782,588.3243,42.8461,5.12,-0.2,1,Neutral,"Stimulus recovery, partial rebound"
2010,1675.6155,39.7856,17.0265,26.8543,22.4009,3.3777,629.8959,60.4906,7.5,0.8202,0,Very Positive,"Strong rebound, 8.4% growth"
2011,1823.0518,39.5904,17.192,31.0835,24.5404,3.7962,678.6038,70.8726,10.07,0.0496,0,Neutral,"Eurozone crisis, inflation spike"
2012,1827.6376,38.3474,16.8454,31.2593,24.5344,3.8675,709.2923,67.6264,11.1,-0.5016,0,Very Negative,"Policy paralysis, growth slowdown"
2013,1856.7215,34.0232,17.1484,28.4133,25.4309,3.8447,743.8016,68.3967,12.3,-0.3972,0,Negative,"INR depreciation crisis, CAD pressure"
2014,2039.1265,34.2678,16.7919,25.9542,22.968,3.8988,808.2934,71.9367,13.5,0.65,0,Very Positive,"Modi election, Make in India, reform optimism"
2015,2103.5884,32.1167,16.1745,22.1097,19.8132,4.1146,841.0854,75.3793,14.9,-0.1648,0,Neutral,"Oil price windfall, growth steady"
2016,2294.7969,30.1727,16.3638,20.9243,19.1582,4.2541,879.9457,83.9178,16.5,-0.6,1,Very Negative,Demonetisation shock (Nov 2016)
2017,2651.4743,30.9822,16.5583,21.9507,18.7918,4.3054,918.3137,85.9704,18.2,-0.3,1,Negative,GST rollout disruption
2018,2702.9296,32.3432,16.0316,23.6891,19.9278,4.3637,970.8342,85.5501,20.0813,-0.1563,0,Neutral,"IL&FS crisis, NBFC stress"
2019,2835.6063,30.0962,16.7556,21.2411,18.6643,3.8973,988.2722,82.8981,29.5235,0.082,0,Neutral,"Economic slowdown, auto sector crisis"
2020,2674.8516,28.9224,18.6685,19.0756,18.6825,4.2934,901.3996,82.254,43.4054,-1.0,1,Very Negative,"COVID-19 pandemic, GDP contracted -7.3%"
